year,matchup_period,matchup_date,team,score,matchup_id
2019,1,Matchup 1 (Mar 20 - Apr 7),Jobu's Rum Importers,867.75,1
2019,1,Matchup 1 (Mar 20 - Apr 7),Soto Movie 2: The 2nd Inning,969.5,1
2019,1,Matchup 1 (Mar 20 - Apr 7),Chris Paddack's Load Managers,797.25,2
2019,1,Matchup 1 (Mar 20 - Apr 7),Konerko's Lover,906.75,2
2019,1,Matchup 1 (Mar 20 - Apr 7),Justin Bour's Donut Shop,885.0,3
2019,1,Matchup 1 (Mar 20 - Apr 7),The Designated Drinkers,723.5,3
2019,1,Matchup 1 (Mar 20 - Apr 7),Ugueth Urbina's Bail Bonds,761.0,4
2019,1,Matchup 1 (Mar 20 - Apr 7),Somehow Still Not Bob Hayes,941.25,4
2019,1,Matchup 1 (Mar 20 - Apr 7),Modern Baseball,921.5,5
2019,1,Matchup 1 (Mar 20 - Apr 7),The Mookie Monsters,664.0,5
2019,1,Matchup 1 (Mar 20 - Apr 7),"Yes, I Like Pina Moncadas",859.25,6
2019,1,Matchup 1 (Mar 20 - Apr 7),SNPP Softball Team,851.25,6
2019,2,Matchup 2 (Apr 8 - 14),Soto Movie 2: The 2nd Inning,558.5,1
2019,2,Matchup 2 (Apr 8 - 14),SNPP Softball Team,522.0,1
2019,2,Matchup 2 (Apr 8 - 14),Justin Bour's Donut Shop,473.75,2
2019,2,Matchup 2 (Apr 8 - 14),Chris Paddack's Load Managers,513.25,2
2019,2,Matchup 2 (Apr 8 - 14),Jobu's Rum Importers,544.5,3
2019,2,Matchup 2 (Apr 8 - 14),Ugueth Urbina's Bail Bonds,469.25,3
2019,2,Matchup 2 (Apr 8 - 14),Modern Baseball,604.5,4
2019,2,Matchup 2 (Apr 8 - 14),Somehow Still Not Bob Hayes,555.0,4
2019,2,Matchup 2 (Apr 8 - 14),"Yes, I Like Pina Moncadas",507.5,5
2019,2,Matchup 2 (Apr 8 - 14),Konerko's Lover,378.75,5
2019,2,Matchup 2 (Apr 8 - 14),The Designated Drinkers,488.5,6
2019,2,Matchup 2 (Apr 8 - 14),The Mookie Monsters,516.75,6
2019,3,Matchup 3 (Apr 15 - 21),Soto Movie 2: The 2nd Inning,462.75,1
2019,3,Matchup 3 (Apr 15 - 21),Modern Baseball,527.5,1
2019,3,Matchup 3 (Apr 15 - 21),The Designated Drinkers,438.5,2
2019,3,Matchup 3 (Apr 15 - 21),"Yes, I Like Pina Moncadas",545.5,2
2019,3,Matchup 3 (Apr 15 - 21),Konerko's Lover,546.5,3
2019,3,Matchup 3 (Apr 15 - 21),The Mookie Monsters,592.25,3
2019,3,Matchup 3 (Apr 15 - 21),Somehow Still Not Bob Hayes,609.5,4
2019,3,Matchup 3 (Apr 15 - 21),SNPP Softball Team,594.25,4
2019,3,Matchup 3 (Apr 15 - 21),Jobu's Rum Importers,609.75,5
2019,3,Matchup 3 (Apr 15 - 21),Justin Bour's Donut Shop,528.75,5
2019,3,Matchup 3 (Apr 15 - 21),Chris Paddack's Load Managers,596.5,6
2019,3,Matchup 3 (Apr 15 - 21),Ugueth Urbina's Bail Bonds,457.5,6
2019,4,Matchup 4 (Apr 22 - 28),Ugueth Urbina's Bail Bonds,535.5,1
2019,4,Matchup 4 (Apr 22 - 28),Soto Movie 2: The 2nd Inning,504.25,1
2019,4,Matchup 4 (Apr 22 - 28),SNPP Softball Team,449.75,2
2019,4,Matchup 4 (Apr 22 - 28),Modern Baseball,501.0,2
2019,4,Matchup 4 (Apr 22 - 28),The Mookie Monsters,575.75,3
2019,4,Matchup 4 (Apr 22 - 28),"Yes, I Like Pina Moncadas",639.25,3
2019,4,Matchup 4 (Apr 22 - 28),Chris Paddack's Load Managers,610.75,4
2019,4,Matchup 4 (Apr 22 - 28),The Designated Drinkers,519.25,4
2019,4,Matchup 4 (Apr 22 - 28),Somehow Still Not Bob Hayes,579.75,5
2019,4,Matchup 4 (Apr 22 - 28),Jobu's Rum Importers,520.5,5
2019,4,Matchup 4 (Apr 22 - 28),Konerko's Lover,499.75,6
2019,4,Matchup 4 (Apr 22 - 28),Justin Bour's Donut Shop,542.25,6
2019,5,Matchup 5 (Apr 29 - May 5),Somehow Still Not Bob Hayes,536.5,1
2019,5,Matchup 5 (Apr 29 - May 5),Soto Movie 2: The 2nd Inning,510.0,1
2019,5,Matchup 5 (Apr 29 - May 5),The Mookie Monsters,582.75,2
2019,5,Matchup 5 (Apr 29 - May 5),Chris Paddack's Load Managers,487.75,2
2019,5,Matchup 5 (Apr 29 - May 5),SNPP Softball Team,445.75,3
2019,5,Matchup 5 (Apr 29 - May 5),Ugueth Urbina's Bail Bonds,579.75,3
2019,5,Matchup 5 (Apr 29 - May 5),Modern Baseball,489.5,4
2019,5,Matchup 5 (Apr 29 - May 5),Jobu's Rum Importers,610.0,4
2019,5,Matchup 5 (Apr 29 - May 5),"Yes, I Like Pina Moncadas",580.25,5
2019,5,Matchup 5 (Apr 29 - May 5),Justin Bour's Donut Shop,501.25,5
2019,5,Matchup 5 (Apr 29 - May 5),Konerko's Lover,418.0,6
2019,5,Matchup 5 (Apr 29 - May 5),The Designated Drinkers,569.25,6
2019,6,Matchup 6 (May 6 - 12),Konerko's Lover,522.75,1
2019,6,Matchup 6 (May 6 - 12),Soto Movie 2: The 2nd Inning,555.25,1
2019,6,Matchup 6 (May 6 - 12),Somehow Still Not Bob Hayes,669.5,2
2019,6,Matchup 6 (May 6 - 12),The Designated Drinkers,533.5,2
2019,6,Matchup 6 (May 6 - 12),SNPP Softball Team,517.25,3
2019,6,Matchup 6 (May 6 - 12),Justin Bour's Donut Shop,553.75,3
