year,matchup_period,matchup_date,team,score,matchup_id
2018,1,Matchup 1 (Mar 29 - Apr 8),Oldtown Craft Brews,496.5,1
2018,1,Matchup 1 (Mar 29 - Apr 8),Konerko's Lover,319.0,1
2018,1,Matchup 1 (Mar 29 - Apr 8),The Mookie Monsters,426.0,2
2018,1,Matchup 1 (Mar 29 - Apr 8),Welington's ExtraBeefy Boys,404.0,2
2018,1,Matchup 1 (Mar 29 - Apr 8),Sadly Not Bob Hayes,324.5,3
2018,1,Matchup 1 (Mar 29 - Apr 8),Ugueth Urbina's Bail Bonds,340.5,3
2018,1,Matchup 1 (Mar 29 - Apr 8),SNPP Softball Team,392.5,4
2018,1,Matchup 1 (Mar 29 - Apr 8),Modern Baseball,385.0,4
2018,1,Matchup 1 (Mar 29 - Apr 8),The Designated Drinkers,363.5,5
2018,1,Matchup 1 (Mar 29 - Apr 8),"Yes, I Like Pina Moncadas",476.0,5
2018,1,Matchup 1 (Mar 29 - Apr 8),Justin Bour's Donut Shop,388.0,6
2018,2,Matchup 2 (Apr 9 - 15),Modern Baseball,152.5,1
2018,2,Matchup 2 (Apr 9 - 15),Welington's ExtraBeefy Boys,155.0,1
2018,2,Matchup 2 (Apr 9 - 15),The Mookie Monsters,337.5,2
2018,2,Matchup 2 (Apr 9 - 15),Konerko's Lover,194.5,2
2018,2,Matchup 2 (Apr 9 - 15),Ugueth Urbina's Bail Bonds,218.0,3
2018,2,Matchup 2 (Apr 9 - 15),Sadly Not Bob Hayes,196.5,3
2018,2,Matchup 2 (Apr 9 - 15),SNPP Softball Team,246.0,4
2018,2,Matchup 2 (Apr 9 - 15),Oldtown Craft Brews,183.0,4
2018,2,Matchup 2 (Apr 9 - 15),"Yes, I Like Pina Moncadas",306.5,5
2018,2,Matchup 2 (Apr 9 - 15),The Designated Drinkers,229.0,5
2018,2,Matchup 2 (Apr 9 - 15),Justin Bour's Donut Shop,319.5,6
2018,3,Matchup 3 (Apr 16 - 22),Justin Bour's Donut Shop,248.5,1
2018,3,Matchup 3 (Apr 16 - 22),Welington's ExtraBeefy Boys,335.5,1
2018,3,Matchup 3 (Apr 16 - 22),Konerko's Lover,289.5,2
2018,3,Matchup 3 (Apr 16 - 22),The Mookie Monsters,296.0,2
2018,3,Matchup 3 (Apr 16 - 22),SNPP Softball Team,202.5,3
2018,3,Matchup 3 (Apr 16 - 22),Sadly Not Bob Hayes,209.5,3
2018,3,Matchup 3 (Apr 16 - 22),Ugueth Urbina's Bail Bonds,335.5,4
2018,3,Matchup 3 (Apr 16 - 22),Modern Baseball,226.5,4
2018,3,Matchup 3 (Apr 16 - 22),Oldtown Craft Brews,226.0,5
2018,3,Matchup 3 (Apr 16 - 22),The Designated Drinkers,264.0,5
2018,3,Matchup 3 (Apr 16 - 22),"Yes, I Like Pina Moncadas",338.0,6
2018,4,Matchup 4 (Apr 23 - 29),Oldtown Craft Brews,287.0,1
2018,4,Matchup 4 (Apr 23 - 29),The Mookie Monsters,291.5,1
2018,4,Matchup 4 (Apr 23 - 29),Konerko's Lover,211.5,2
2018,4,Matchup 4 (Apr 23 - 29),Welington's ExtraBeefy Boys,268.0,2
2018,4,Matchup 4 (Apr 23 - 29),SNPP Softball Team,290.5,3
2018,4,Matchup 4 (Apr 23 - 29),Ugueth Urbina's Bail Bonds,298.5,3
2018,4,Matchup 4 (Apr 23 - 29),Sadly Not Bob Hayes,192.0,4
2018,4,Matchup 4 (Apr 23 - 29),Modern Baseball,254.0,4
2018,4,Matchup 4 (Apr 23 - 29),Justin Bour's Donut Shop,220.5,5
2018,4,Matchup 4 (Apr 23 - 29),"Yes, I Like Pina Moncadas",240.5,5
2018,4,Matchup 4 (Apr 23 - 29),The Designated Drinkers,222.0,6
2018,5,Matchup 5 (Apr 30 - May 6),Modern Baseball,268.0,1
2018,5,Matchup 5 (Apr 30 - May 6),The Mookie Monsters,346.5,1
2018,5,Matchup 5 (Apr 30 - May 6),Welington's ExtraBeefy Boys,330.0,2
2018,5,Matchup 5 (Apr 30 - May 6),Konerko's Lover,219.5,2
2018,5,Matchup 5 (Apr 30 - May 6),Sadly Not Bob Hayes,238.5,3
