year,matchup_period,matchup_date,team,score,matchup_id
2022,1,Matchup 1 (Apr 7 - 17),Modern Baseball,761.5,1
2022,1,Matchup 1 (Apr 7 - 17),The Taking of Soto 022,755.0,1
2022,1,Matchup 1 (Apr 7 - 17),SNPP Softball Team,827.5,2
2022,1,Matchup 1 (Apr 7 - 17),Ready to Get Hurt Again,683.0,2
2022,1,Matchup 1 (Apr 7 - 17),The Mookie Mashers,713.25,3
2022,1,Matchup 1 (Apr 7 - 17),Konerko's Lover,683.0,3
2022,1,Matchup 1 (Apr 7 - 17),Sunscreen and Rosin,747.0,4
2022,1,Matchup 1 (Apr 7 - 17),Harry Kroll's Fantasy Team,690.0,4
2022,1,Matchup 1 (Apr 7 - 17),Jobu's Rum-Runners,842.75,5
2022,1,Matchup 1 (Apr 7 - 17),The Designated Drinkers,766.25,5
2022,1,Matchup 1 (Apr 7 - 17),Justin Bour's Donut Shop,786.0,6
2022,1,Matchup 1 (Apr 7 - 17),"Yes, I Like Pina Moncadas",718.25,6
2022,2,Matchup 2 (Apr 18 - 24),The Taking of Soto 022,392.75,1
2022,2,Matchup 2 (Apr 18 - 24),Jobu's Rum-Runners,486.0,1
2022,2,Matchup 2 (Apr 18 - 24),Justin Bour's Donut Shop,502.75,2
2022,2,Matchup 2 (Apr 18 - 24),Konerko's Lover,506.25,2
2022,2,Matchup 2 (Apr 18 - 24),Ready to Get Hurt Again,475.75,3
2022,2,Matchup 2 (Apr 18 - 24),The Mookie Mashers,534.0,3
2022,2,Matchup 2 (Apr 18 - 24),SNPP Softball Team,503.25,4
2022,2,Matchup 2 (Apr 18 - 24),Harry Kroll's Fantasy Team,465.75,4
2022,2,Matchup 2 (Apr 18 - 24),Sunscreen and Rosin,571.25,5
2022,2,Matchup 2 (Apr 18 - 24),Modern Baseball,517.5,5
2022,2,Matchup 2 (Apr 18 - 24),"Yes, I Like Pina Moncadas",477.0,6
2022,2,Matchup 2 (Apr 18 - 24),The Designated Drinkers,573.75,6
2022,3,Matchup 3 (Apr 25 - May 1),The Mookie Mashers,475.5,1
2022,3,Matchup 3 (Apr 25 - May 1),The Taking of Soto 022,567.25,1
2022,3,Matchup 3 (Apr 25 - May 1),Konerko's Lover,588.5,2
2022,3,Matchup 3 (Apr 25 - May 1),Ready to Get Hurt Again,481.0,2
2022,3,Matchup 3 (Apr 25 - May 1),SNPP Softball Team,539.5,3
2022,3,Matchup 3 (Apr 25 - May 1),Sunscreen and Rosin,405.25,3
2022,3,Matchup 3 (Apr 25 - May 1),The Designated Drinkers,422.75,4
2022,3,Matchup 3 (Apr 25 - May 1),Justin Bour's Donut Shop,582.75,4
2022,3,Matchup 3 (Apr 25 - May 1),Modern Baseball,653.5,5
2022,3,Matchup 3 (Apr 25 - May 1),Jobu's Rum-Runners,573.25,5
2022,3,Matchup 3 (Apr 25 - May 1),"Yes, I Like Pina Moncadas",518.5,6
2022,3,Matchup 3 (Apr 25 - May 1),Harry Kroll's Fantasy Team,510.0,6
2022,4,Matchup 4 (May 2 - 8),The Taking of Soto 022,551.0,1
2022,4,Matchup 4 (May 2 - 8),Konerko's Lover,440.25,1
2022,4,Matchup 4 (May 2 - 8),Ready to Get Hurt Again,523.25,2
2022,4,Matchup 4 (May 2 - 8),Jobu's Rum-Runners,496.75,2
2022,4,Matchup 4 (May 2 - 8),The Mookie Mashers,401.75,3
2022,4,Matchup 4 (May 2 - 8),Modern Baseball,554.75,3
2022,4,Matchup 4 (May 2 - 8),"Yes, I Like Pina Moncadas",523.5,4
2022,4,Matchup 4 (May 2 - 8),Sunscreen and Rosin,495.0,4
2022,4,Matchup 4 (May 2 - 8),Harry Kroll's Fantasy Team,509.75,5
2022,4,Matchup 4 (May 2 - 8),Justin Bour's Donut Shop,525.0,5
2022,4,Matchup 4 (May 2 - 8),The Designated Drinkers,426.25,6
2022,4,Matchup 4 (May 2 - 8),SNPP Softball Team,516.25,6
2022,5,Matchup 5 (May 9 - 15),The Taking of Soto 022,515.0,1
2022,5,Matchup 5 (May 9 - 15),"Yes, I Like Pina Moncadas",537.0,1
2022,5,Matchup 5 (May 9 - 15),The Mookie Mashers,524.5,2
2022,5,Matchup 5 (May 9 - 15),Harry Kroll's Fantasy Team,478.5,2
2022,5,Matchup 5 (May 9 - 15),Konerko's Lover,479.5,3
2022,5,Matchup 5 (May 9 - 15),SNPP Softball Team,638.75,3
