year,team_id,scoring_period_id,date,player_name,player_pos
2023,1,1,2023-03-30,Daulton Varsho,C
2023,1,1,2023-03-30,Rowdy Tellez,1B
2023,1,1,2023-03-30,Brandon Lowe,2B
2023,1,1,2023-03-30,Rafael Devers,3B
2023,1,1,2023-03-30,Carlos Correa,SS
2023,1,1,2023-03-30,Kyle Schwarber,OF
2023,1,1,2023-03-30,Yordan Alvarez,OF
2023,1,1,2023-03-30,Masataka Yoshida,OF
2023,1,1,2023-03-30,Taylor Ward,UTIL
2023,1,1,2023-03-30,Jarred Kelenic,UTIL
2023,1,1,2023-03-30,Luis Urias,Bench
2023,1,1,2023-03-30,Miguel Vargas,Bench
2023,1,1,2023-03-30,Kodai Senga,Bench
2023,1,1,2023-03-30,Alex Cobb,Bench
2023,1,1,2023-03-30,Grayson Rodriguez,Bench
2023,1,1,2023-03-30,Mitch Haniger,IL
2023,1,1,2023-03-30,Tyler Glasnow,IL
2023,1,1,2023-03-30,Logan Webb,SP
2023,1,1,2023-03-30,Spencer Strider,SP
2023,1,1,2023-03-30,Hunter Greene,SP
2023,1,1,2023-03-30,George Kirby,SP
2023,1,1,2023-03-30,Tyler Mahle,SP
2023,1,1,2023-03-30,Andres Munoz,RP
2023,1,1,2023-03-30,Seranthony Dominguez,RP
2023,1,1,2023-03-30,Alex Lange,RP
2023,1,2,2023-03-31,Daulton Varsho,C
2023,1,2,2023-03-31,Rowdy Tellez,1B
2023,1,2,2023-03-31,Brandon Lowe,2B
2023,1,2,2023-03-31,Rafael Devers,3B
2023,1,2,2023-03-31,Carlos Correa,SS
2023,1,2,2023-03-31,Kyle Schwarber,OF
2023,1,2,2023-03-31,Yordan Alvarez,OF
2023,1,2,2023-03-31,Masataka Yoshida,OF
2023,1,2,2023-03-31,Miguel Vargas,UTIL
2023,1,2,2023-03-31,Jarred Kelenic,UTIL
2023,1,2,2023-03-31,Taylor Ward,Bench
2023,1,2,2023-03-31,Luis Urias,Bench
2023,1,2,2023-03-31,Kodai Senga,Bench
2023,1,2,2023-03-31,Alex Cobb,Bench
2023,1,2,2023-03-31,Grayson Rodriguez,Bench
2023,1,2,2023-03-31,Mitch Haniger,IL
2023,1,2,2023-03-31,Tyler Glasnow,IL
2023,1,2,2023-03-31,Logan Webb,SP
2023,1,2,2023-03-31,Spencer Strider,SP
2023,1,2,2023-03-31,Hunter Greene,SP
2023,1,2,2023-03-31,George Kirby,SP
2023,1,2,2023-03-31,Tyler Mahle,SP
2023,1,2,2023-03-31,Andres Munoz,RP
2023,1,2,2023-03-31,Seranthony Dominguez,RP
2023,1,2,2023-03-31,Alex Lange,RP
2023,1,3,2023-04-01,Daulton Varsho,C
2023,1,3,2023-04-01,Rowdy Tellez,1B
2023,1,3,2023-04-01,Brandon Lowe,2B
2023,1,3,2023-04-01,Rafael Devers,3B
2023,1,3,2023-04-01,Carlos Correa,SS
2023,1,3,2023-04-01,Kyle Schwarber,OF
2023,1,3,2023-04-01,Yordan Alvarez,OF
2023,1,3,2023-04-01,Masataka Yoshida,OF
2023,1,3,2023-04-01,Taylor Ward,UTIL
2023,1,3,2023-04-01,Jarred Kelenic,UTIL
2023,1,3,2023-04-01,Miguel Vargas,Bench
2023,1,3,2023-04-01,Kodai Senga,Bench
2023,1,3,2023-04-01,Alex Cobb,Bench
2023,1,3,2023-04-01,Alex Lange,Bench
2023,1,3,2023-04-01,Grayson Rodriguez,Bench
2023,1,3,2023-04-01,Mitch Haniger,IL
2023,1,3,2023-04-01,Luis Urias,IL
2023,1,3,2023-04-01,Tyler Glasnow,IL
2023,1,3,2023-04-01,Logan Webb,SP
2023,1,3,2023-04-01,Spencer Strider,SP
