year,team_id,scoring_period_id,date,player_name,player_pos
2023,6,1,2023-03-30,Keibert Ruiz,C
2023,6,1,2023-03-30,Josh Bell,1B
2023,6,1,2023-03-30,Jean Segura,2B
2023,6,1,2023-03-30,Jose Ramirez,3B
2023,6,1,2023-03-30,Ezequiel Tovar,SS
2023,6,1,2023-03-30,Julio Rodriguez,OF
2023,6,1,2023-03-30,Aaron Judge,OF
2023,6,1,2023-03-30,Ronald Acuna Jr.,OF
2023,6,1,2023-03-30,Anthony Rendon,UTIL
2023,6,1,2023-03-30,Carlos Santana,UTIL
2023,6,1,2023-03-30,Josh Naylor,Bench
2023,6,1,2023-03-30,Austin Meadows,Bench
2023,6,1,2023-03-30,Wilmer Flores,Bench
2023,6,1,2023-03-30,CJ Abrams,Bench
2023,6,1,2023-03-30,Marco Gonzales,Bench
2023,6,1,2023-03-30,Luis Severino,IL
2023,6,1,2023-03-30,Lance McCullers Jr.,IL
2023,6,1,2023-03-30,Ranger Suarez,IL
2023,6,1,2023-03-30,Jacob deGrom,SP
2023,6,1,2023-03-30,Jon Gray,SP
2023,6,1,2023-03-30,Nathan Eovaldi,SP
2023,6,1,2023-03-30,Nick Pivetta,SP
2023,6,1,2023-03-30,Corey Kluber,SP
2023,6,1,2023-03-30,Devin Williams,RP
2023,6,1,2023-03-30,Craig Kimbrel,RP
2023,6,1,2023-03-30,Aroldis Chapman,RP
2023,6,2,2023-03-31,Keibert Ruiz,C
2023,6,2,2023-03-31,Josh Bell,1B
2023,6,2,2023-03-31,Jean Segura,2B
2023,6,2,2023-03-31,Jose Ramirez,3B
2023,6,2,2023-03-31,Ezequiel Tovar,SS
2023,6,2,2023-03-31,Julio Rodriguez,OF
2023,6,2,2023-03-31,Aaron Judge,OF
2023,6,2,2023-03-31,Ronald Acuna Jr.,OF
2023,6,2,2023-03-31,Josh Naylor,UTIL
2023,6,2,2023-03-31,Anthony Rendon,UTIL
2023,6,2,2023-03-31,Carlos Santana,Bench
2023,6,2,2023-03-31,Austin Meadows,Bench
2023,6,2,2023-03-31,Wilmer Flores,Bench
2023,6,2,2023-03-31,CJ Abrams,Bench
2023,6,2,2023-03-31,Marco Gonzales,Bench
2023,6,2,2023-03-31,Luis Severino,IL
2023,6,2,2023-03-31,Lance McCullers Jr.,IL
2023,6,2,2023-03-31,Ranger Suarez,IL
2023,6,2,2023-03-31,Jacob deGrom,SP
2023,6,2,2023-03-31,Jon Gray,SP
2023,6,2,2023-03-31,Nathan Eovaldi,SP
2023,6,2,2023-03-31,Nick Pivetta,SP
2023,6,2,2023-03-31,Corey Kluber,SP
2023,6,2,2023-03-31,Devin Williams,RP
