year,team_id,scoring_period_id,date,player_name,player_pos
2023,9,1,2023-03-30,William Contreras,C
2023,9,1,2023-03-30,Freddie Freeman,1B
2023,9,1,2023-03-30,Gleyber Torres,2B
2023,9,1,2023-03-30,Alec Bohm,3B
2023,9,1,2023-03-30,Corey Seager,SS
2023,9,1,2023-03-30,Mike Trout,OF
2023,9,1,2023-03-30,Eloy Jimenez,OF
2023,9,1,2023-03-30,Teoscar Hernandez,OF
2023,9,1,2023-03-30,Jose Abreu,UTIL
2023,9,1,2023-03-30,Dansby Swanson,UTIL
2023,9,1,2023-03-30,Hunter Renfroe,Bench
2023,9,1,2023-03-30,Thairo Estrada,Bench
2023,9,1,2023-03-30,Mike Yastrzemski,Bench
2023,9,1,2023-03-30,Joe Ryan,Bench
2023,9,1,2023-03-30,Michael Kopech,Bench
2023,9,1,2023-03-30,Carlos Rodon,IL
2023,9,1,2023-03-30,Lance Lynn,SP
2023,9,1,2023-03-30,Zac Gallen,SP
2023,9,1,2023-03-30,Jordan Montgomery,SP
2023,9,1,2023-03-30,Tyler Anderson,SP
2023,9,1,2023-03-30,Marcus Stroman,SP
2023,9,1,2023-03-30,Daniel Bard,RP
2023,9,1,2023-03-30,Seth Lugo,RP
2023,9,1,2023-03-30,Trevor Williams,RP
2023,9,2,2023-03-31,William Contreras,C
2023,9,2,2023-03-31,Freddie Freeman,1B
2023,9,2,2023-03-31,Gleyber Torres,2B
2023,9,2,2023-03-31,Alec Bohm,3B
2023,9,2,2023-03-31,Corey Seager,SS
2023,9,2,2023-03-31,Mike Trout,OF
2023,9,2,2023-03-31,Eloy Jimenez,OF
2023,9,2,2023-03-31,Teoscar Hernandez,OF
2023,9,2,2023-03-31,Jose Abreu,UTIL
2023,9,2,2023-03-31,Dansby Swanson,UTIL
2023,9,2,2023-03-31,Hunter Renfroe,Bench
2023,9,2,2023-03-31,Thairo Estrada,Bench
2023,9,2,2023-03-31,Mike Yastrzemski,Bench
2023,9,2,2023-03-31,Joe Ryan,Bench
2023,9,2,2023-03-31,Michael Kopech,Bench
2023,9,2,2023-03-31,Carlos Rodon,IL
2023,9,2,2023-03-31,Daniel Bard,IL
2023,9,2,2023-03-31,Lance Lynn,SP
2023,9,2,2023-03-31,Zac Gallen,SP
2023,9,2,2023-03-31,Jordan Montgomery,SP
2023,9,2,2023-03-31,Tyler Anderson,SP
2023,9,2,2023-03-31,Marcus Stroman,SP
2023,9,2,2023-03-31,Seth Lugo,RP
2023,9,2,2023-03-31,Trevor Williams,RP
2023,9,2,2023-03-31,Brusdar Graterol,RP
2023,9,3,2023-04-01,William Contreras,C
2023,9,3,2023-04-01,Freddie Freeman,1B
2023,9,3,2023-04-01,Gleyber Torres,2B
2023,9,3,2023-04-01,Alec Bohm,3B
2023,9,3,2023-04-01,Corey Seager,SS
2023,9,3,2023-04-01,Mike Trout,OF
2023,9,3,2023-04-01,Eloy Jimenez,OF
2023,9,3,2023-04-01,Teoscar Hernandez,OF
2023,9,3,2023-04-01,Jose Abreu,UTIL
2023,9,3,2023-04-01,Dansby Swanson,UTIL
2023,9,3,2023-04-01,Hunter Renfroe,Bench
2023,9,3,2023-04-01,Thairo Estrada,Bench
2023,9,3,2023-04-01,Mike Yastrzemski,Bench
2023,9,3,2023-04-01,Joe Ryan,Bench
2023,9,3,2023-04-01,Michael Kopech,Bench
2023,9,3,2023-04-01,Carlos Rodon,IL
2023,9,3,2023-04-01,Daniel Bard,IL
2023,9,3,2023-04-01,Lance Lynn,SP
2023,9,3,2023-04-01,Zac Gallen,SP
2023,9,3,2023-04-01,Jordan Montgomery,SP
2023,9,3,2023-04-01,Tyler Anderson,SP
2023,9,3,2023-04-01,Marcus Stroman,SP
2023,9,3,2023-04-01,Seth Lugo,RP
2023,9,3,2023-04-01,Brusdar Graterol,RP
2023,9,3,2023-04-01,Dany Jimenez,RP
2023,9,4,2023-04-02,William Contreras,C
2023,9,4,2023-04-02,Freddie Freeman,1B
2023,9,4,2023-04-02,Gleyber Torres,2B
2023,9,4,2023-04-02,Alec Bohm,3B
2023,9,4,2023-04-02,Corey Seager,SS
2023,9,4,2023-04-02,Mike Trout,OF
2023,9,4,2023-04-02,Eloy Jimenez,OF
2023,9,4,2023-04-02,Teoscar Hernandez,OF
2023,9,4,2023-04-02,Jose Abreu,UTIL
2023,9,4,2023-04-02,Dansby Swanson,UTIL
2023,9,4,2023-04-02,Hunter Renfroe,Bench
2023,9,4,2023-04-02,Thairo Estrada,Bench
2023,9,4,2023-04-02,Mike Yastrzemski,Bench
2023,9,4,2023-04-02,Michael Kopech,Bench
2023,9,4,2023-04-02,Marcus Stroman,Bench
2023,9,4,2023-04-02,Carlos Rodon,IL
2023,9,4,2023-04-02,Daniel Bard,IL
2023,9,4,2023-04-02,Lance Lynn,SP
2023,9,4,2023-04-02,Zac Gallen,SP
2023,9,4,2023-04-02,Jordan Montgomery,SP
2023,9,4,2023-04-02,Joe Ryan,SP
2023,9,4,2023-04-02,Tyler Anderson,SP
2023,9,4,2023-04-02,Brusdar Graterol,RP
2023,9,4,2023-04-02,Dany Jimenez,RP
2023,9,4,2023-04-02,Brooks Raley,RP
2023,9,5,2023-04-03,William Contreras,C
2023,9,5,2023-04-03,Freddie Freeman,1B
2023,9,5,2023-04-03,Gleyber Torres,2B
2023,9,5,2023-04-03,Alec Bohm,3B
