year,team_id,scoring_period_id,date,player_name,player_pos
2020,10,1,2020-03-26,Gary Sanchez,C
2020,10,1,2020-03-26,Matt Olson,1B
2020,10,1,2020-03-26,Whit Merrifield,2B
2020,10,1,2020-03-26,Jose Ramirez,3B
2020,10,1,2020-03-26,Adalberto Mondesi,SS
2020,10,1,2020-03-26,Eloy Jimenez,OF
2020,10,1,2020-03-26,Marcell Ozuna,OF
2020,10,1,2020-03-26,Jorge Soler,OF
2020,10,1,2020-03-26,Vladimir Guerrero Jr.,UTIL
2020,10,1,2020-03-26,Yuli Gurriel,UTIL
2020,10,1,2020-03-26,Lorenzo Cain,Bench
2020,10,1,2020-03-26,Kevin Newman,Bench
2020,10,1,2020-03-26,Daniel Murphy,Bench
2020,10,1,2020-03-26,Carlos Martinez,Bench
2020,10,1,2020-03-26,Sandy Alcantara,Bench
2020,10,1,2020-03-26,Shohei Ohtani,SP
2020,10,1,2020-03-26,Shohei Ohtani,SP
2020,10,1,2020-03-26,James Paxton,SP
2020,10,1,2020-03-26,Brandon Woodruff,SP
2020,10,1,2020-03-26,Dallas Keuchel,SP
2020,10,1,2020-03-26,Kenta Maeda,SP
2020,10,1,2020-03-26,Jesus Luzardo,RP
2020,10,1,2020-03-26,Nick Anderson,RP
2020,10,1,2020-03-26,Brandon Workman,RP
2020,10,2,2020-03-27,Gary Sanchez,C
2020,10,2,2020-03-27,Matt Olson,1B
2020,10,2,2020-03-27,Whit Merrifield,2B
2020,10,2,2020-03-27,Jose Ramirez,3B
2020,10,2,2020-03-27,Adalberto Mondesi,SS
2020,10,2,2020-03-27,Eloy Jimenez,OF
2020,10,2,2020-03-27,Marcell Ozuna,OF
2020,10,2,2020-03-27,Jorge Soler,OF
2020,10,2,2020-03-27,Vladimir Guerrero Jr.,UTIL
2020,10,2,2020-03-27,Yuli Gurriel,UTIL
2020,10,2,2020-03-27,Lorenzo Cain,Bench
2020,10,2,2020-03-27,Kevin Newman,Bench
2020,10,2,2020-03-27,Daniel Murphy,Bench
2020,10,2,2020-03-27,Carlos Martinez,Bench
2020,10,2,2020-03-27,Sandy Alcantara,Bench
2020,10,2,2020-03-27,Shohei Ohtani,SP
2020,10,2,2020-03-27,Shohei Ohtani,SP
2020,10,2,2020-03-27,James Paxton,SP
2020,10,2,2020-03-27,Brandon Woodruff,SP
2020,10,2,2020-03-27,Dallas Keuchel,SP
2020,10,2,2020-03-27,Kenta Maeda,SP
2020,10,2,2020-03-27,Jesus Luzardo,RP
2020,10,2,2020-03-27,Nick Anderson,RP
2020,10,2,2020-03-27,Brandon Workman,RP
2020,10,3,2020-03-28,Gary Sanchez,C
2020,10,3,2020-03-28,Matt Olson,1B
2020,10,3,2020-03-28,Whit Merrifield,2B
2020,10,3,2020-03-28,Jose Ramirez,3B
2020,10,3,2020-03-28,Adalberto Mondesi,SS
2020,10,3,2020-03-28,Eloy Jimenez,OF
2020,10,3,2020-03-28,Marcell Ozuna,OF
2020,10,3,2020-03-28,Jorge Soler,OF
2020,10,3,2020-03-28,Vladimir Guerrero Jr.,UTIL
2020,10,3,2020-03-28,Yuli Gurriel,UTIL
2020,10,3,2020-03-28,Lorenzo Cain,Bench
2020,10,3,2020-03-28,Kevin Newman,Bench
2020,10,3,2020-03-28,Daniel Murphy,Bench
2020,10,3,2020-03-28,Carlos Martinez,Bench
2020,10,3,2020-03-28,Sandy Alcantara,Bench
2020,10,3,2020-03-28,Shohei Ohtani,SP
2020,10,3,2020-03-28,Shohei Ohtani,SP
2020,10,3,2020-03-28,James Paxton,SP
2020,10,3,2020-03-28,Brandon Woodruff,SP
2020,10,3,2020-03-28,Dallas Keuchel,SP
2020,10,3,2020-03-28,Kenta Maeda,SP
2020,10,3,2020-03-28,Jesus Luzardo,RP
2020,10,3,2020-03-28,Nick Anderson,RP
2020,10,3,2020-03-28,Brandon Workman,RP
2020,10,4,2020-03-29,Gary Sanchez,C
2020,10,4,2020-03-29,Matt Olson,1B
2020,10,4,2020-03-29,Whit Merrifield,2B
2020,10,4,2020-03-29,Jose Ramirez,3B
2020,10,4,2020-03-29,Adalberto Mondesi,SS
2020,10,4,2020-03-29,Eloy Jimenez,OF
2020,10,4,2020-03-29,Marcell Ozuna,OF
2020,10,4,2020-03-29,Jorge Soler,OF
2020,10,4,2020-03-29,Vladimir Guerrero Jr.,UTIL
2020,10,4,2020-03-29,Yuli Gurriel,UTIL
2020,10,4,2020-03-29,Lorenzo Cain,Bench
2020,10,4,2020-03-29,Kevin Newman,Bench
2020,10,4,2020-03-29,Daniel Murphy,Bench
2020,10,4,2020-03-29,Carlos Martinez,Bench
2020,10,4,2020-03-29,Sandy Alcantara,Bench
2020,10,4,2020-03-29,Shohei Ohtani,SP
2020,10,4,2020-03-29,Shohei Ohtani,SP
2020,10,4,2020-03-29,James Paxton,SP
2020,10,4,2020-03-29,Brandon Woodruff,SP
2020,10,4,2020-03-29,Dallas Keuchel,SP
2020,10,4,2020-03-29,Kenta Maeda,SP
2020,10,4,2020-03-29,Jesus Luzardo,RP
2020,10,4,2020-03-29,Nick Anderson,RP
2020,10,4,2020-03-29,Brandon Workman,RP
2020,10,5,2020-03-30,Gary Sanchez,C
2020,10,5,2020-03-30,Matt Olson,1B
2020,10,5,2020-03-30,Whit Merrifield,2B
2020,10,5,2020-03-30,Jose Ramirez,3B
2020,10,5,2020-03-30,Adalberto Mondesi,SS
2020,10,5,2020-03-30,Eloy Jimenez,OF
2020,10,5,2020-03-30,Marcell Ozuna,OF
2020,10,5,2020-03-30,Jorge Soler,OF
2020,10,5,2020-03-30,Vladimir Guerrero Jr.,UTIL
2020,10,5,2020-03-30,Yuli Gurriel,UTIL
2020,10,5,2020-03-30,Lorenzo Cain,Bench
2020,10,5,2020-03-30,Kevin Newman,Bench
2020,10,5,2020-03-30,Daniel Murphy,Bench
2020,10,5,2020-03-30,Carlos Martinez,Bench
2020,10,5,2020-03-30,Sandy Alcantara,Bench
2020,10,5,2020-03-30,Shohei Ohtani,SP
2020,10,5,2020-03-30,Shohei Ohtani,SP
2020,10,5,2020-03-30,James Paxton,SP
2020,10,5,2020-03-30,Brandon Woodruff,SP
2020,10,5,2020-03-30,Dallas Keuchel,SP
2020,10,5,2020-03-30,Kenta Maeda,SP
2020,10,5,2020-03-30,Jesus Luzardo,RP
2020,10,5,2020-03-30,Nick Anderson,RP
2020,10,5,2020-03-30,Brandon Workman,RP
2020,10,6,2020-03-31,Gary Sanchez,C
2020,10,6,2020-03-31,Matt Olson,1B
2020,10,6,2020-03-31,Whit Merrifield,2B
2020,10,6,2020-03-31,Jose Ramirez,3B
2020,10,6,2020-03-31,Adalberto Mondesi,SS
2020,10,6,2020-03-31,Eloy Jimenez,OF
2020,10,6,2020-03-31,Marcell Ozuna,OF
2020,10,6,2020-03-31,Jorge Soler,OF
2020,10,6,2020-03-31,Vladimir Guerrero Jr.,UTIL
2020,10,6,2020-03-31,Yuli Gurriel,UTIL
2020,10,6,2020-03-31,Lorenzo Cain,Bench
2020,10,6,2020-03-31,Kevin Newman,Bench
2020,10,6,2020-03-31,Daniel Murphy,Bench
2020,10,6,2020-03-31,Carlos Martinez,Bench
2020,10,6,2020-03-31,Sandy Alcantara,Bench
2020,10,6,2020-03-31,Shohei Ohtani,SP
2020,10,6,2020-03-31,Shohei Ohtani,SP
2020,10,6,2020-03-31,James Paxton,SP
2020,10,6,2020-03-31,Brandon Woodruff,SP
2020,10,6,2020-03-31,Dallas Keuchel,SP
2020,10,6,2020-03-31,Kenta Maeda,SP
2020,10,6,2020-03-31,Jesus Luzardo,RP
2020,10,6,2020-03-31,Nick Anderson,RP
2020,10,6,2020-03-31,Brandon Workman,RP
2020,10,7,2020-04-01,Gary Sanchez,C
2020,10,7,2020-04-01,Matt Olson,1B
2020,10,7,2020-04-01,Whit Merrifield,2B
2020,10,7,2020-04-01,Jose Ramirez,3B
2020,10,7,2020-04-01,Adalberto Mondesi,SS
2020,10,7,2020-04-01,Eloy Jimenez,OF
2020,10,7,2020-04-01,Marcell Ozuna,OF
2020,10,7,2020-04-01,Jorge Soler,OF
2020,10,7,2020-04-01,Vladimir Guerrero Jr.,UTIL
2020,10,7,2020-04-01,Yuli Gurriel,UTIL
2020,10,7,2020-04-01,Lorenzo Cain,Bench
2020,10,7,2020-04-01,Kevin Newman,Bench
2020,10,7,2020-04-01,Daniel Murphy,Bench
2020,10,7,2020-04-01,Carlos Martinez,Bench
2020,10,7,2020-04-01,Sandy Alcantara,Bench
2020,10,7,2020-04-01,Shohei Ohtani,SP
2020,10,7,2020-04-01,Shohei Ohtani,SP
2020,10,7,2020-04-01,James Paxton,SP
2020,10,7,2020-04-01,Brandon Woodruff,SP
2020,10,7,2020-04-01,Dallas Keuchel,SP
2020,10,7,2020-04-01,Kenta Maeda,SP
2020,10,7,2020-04-01,Jesus Luzardo,RP
2020,10,7,2020-04-01,Nick Anderson,RP
2020,10,7,2020-04-01,Brandon Workman,RP
2020,10,8,2020-04-02,Gary Sanchez,C
2020,10,8,2020-04-02,Matt Olson,1B
2020,10,8,2020-04-02,Whit Merrifield,2B
2020,10,8,2020-04-02,Jose Ramirez,3B
2020,10,8,2020-04-02,Adalberto Mondesi,SS
2020,10,8,2020-04-02,Eloy Jimenez,OF
2020,10,8,2020-04-02,Marcell Ozuna,OF
2020,10,8,2020-04-02,Jorge Soler,OF
2020,10,8,2020-04-02,Vladimir Guerrero Jr.,UTIL
2020,10,8,2020-04-02,Yuli Gurriel,UTIL
2020,10,8,2020-04-02,Lorenzo Cain,Bench
2020,10,8,2020-04-02,Kevin Newman,Bench
2020,10,8,2020-04-02,Daniel Murphy,Bench
2020,10,8,2020-04-02,Carlos Martinez,Bench
2020,10,8,2020-04-02,Sandy Alcantara,Bench
2020,10,8,2020-04-02,Shohei Ohtani,SP
2020,10,8,2020-04-02,Shohei Ohtani,SP
2020,10,8,2020-04-02,James Paxton,SP
2020,10,8,2020-04-02,Brandon Woodruff,SP
2020,10,8,2020-04-02,Dallas Keuchel,SP
2020,10,8,2020-04-02,Kenta Maeda,SP
2020,10,8,2020-04-02,Jesus Luzardo,RP
2020,10,8,2020-04-02,Nick Anderson,RP
2020,10,8,2020-04-02,Brandon Workman,RP
2020,10,9,2020-04-03,Gary Sanchez,C
2020,10,9,2020-04-03,Matt Olson,1B
2020,10,9,2020-04-03,Whit Merrifield,2B
2020,10,9,2020-04-03,Jose Ramirez,3B
2020,10,9,2020-04-03,Adalberto Mondesi,SS
2020,10,9,2020-04-03,Eloy Jimenez,OF
2020,10,9,2020-04-03,Marcell Ozuna,OF
2020,10,9,2020-04-03,Jorge Soler,OF
2020,10,9,2020-04-03,Vladimir Guerrero Jr.,UTIL
2020,10,9,2020-04-03,Yuli Gurriel,UTIL
2020,10,9,2020-04-03,Lorenzo Cain,Bench
2020,10,9,2020-04-03,Kevin Newman,Bench
2020,10,9,2020-04-03,Daniel Murphy,Bench
2020,10,9,2020-04-03,Carlos Martinez,Bench
2020,10,9,2020-04-03,Sandy Alcantara,Bench
2020,10,9,2020-04-03,Shohei Ohtani,SP
2020,10,9,2020-04-03,Shohei Ohtani,SP
2020,10,9,2020-04-03,James Paxton,SP
2020,10,9,2020-04-03,Brandon Woodruff,SP
2020,10,9,2020-04-03,Dallas Keuchel,SP
2020,10,9,2020-04-03,Kenta Maeda,SP
2020,10,9,2020-04-03,Jesus Luzardo,RP
2020,10,9,2020-04-03,Nick Anderson,RP
2020,10,9,2020-04-03,Brandon Workman,RP
2020,10,10,2020-04-04,Gary Sanchez,C
2020,10,10,2020-04-04,Matt Olson,1B
2020,10,10,2020-04-04,Whit Merrifield,2B
2020,10,10,2020-04-04,Jose Ramirez,3B
2020,10,10,2020-04-04,Adalberto Mondesi,SS
2020,10,10,2020-04-04,Eloy Jimenez,OF
2020,10,10,2020-04-04,Marcell Ozuna,OF
2020,10,10,2020-04-04,Jorge Soler,OF
2020,10,10,2020-04-04,Vladimir Guerrero Jr.,UTIL
2020,10,10,2020-04-04,Yuli Gurriel,UTIL
2020,10,10,2020-04-04,Lorenzo Cain,Bench
2020,10,10,2020-04-04,Kevin Newman,Bench
2020,10,10,2020-04-04,Daniel Murphy,Bench
2020,10,10,2020-04-04,Carlos Martinez,Bench
2020,10,10,2020-04-04,Sandy Alcantara,Bench
2020,10,10,2020-04-04,Shohei Ohtani,SP
2020,10,10,2020-04-04,Shohei Ohtani,SP
2020,10,10,2020-04-04,James Paxton,SP
2020,10,10,2020-04-04,Brandon Woodruff,SP
2020,10,10,2020-04-04,Dallas Keuchel,SP
2020,10,10,2020-04-04,Kenta Maeda,SP
2020,10,10,2020-04-04,Jesus Luzardo,RP
2020,10,10,2020-04-04,Nick Anderson,RP
2020,10,10,2020-04-04,Brandon Workman,RP
2020,10,11,2020-04-05,Gary Sanchez,C
2020,10,11,2020-04-05,Matt Olson,1B
2020,10,11,2020-04-05,Whit Merrifield,2B
2020,10,11,2020-04-05,Jose Ramirez,3B
2020,10,11,2020-04-05,Adalberto Mondesi,SS
2020,10,11,2020-04-05,Eloy Jimenez,OF
2020,10,11,2020-04-05,Marcell Ozuna,OF
2020,10,11,2020-04-05,Jorge Soler,OF
2020,10,11,2020-04-05,Vladimir Guerrero Jr.,UTIL
2020,10,11,2020-04-05,Yuli Gurriel,UTIL
2020,10,11,2020-04-05,Lorenzo Cain,Bench
2020,10,11,2020-04-05,Kevin Newman,Bench
2020,10,11,2020-04-05,Daniel Murphy,Bench
2020,10,11,2020-04-05,Carlos Martinez,Bench
2020,10,11,2020-04-05,Sandy Alcantara,Bench
2020,10,11,2020-04-05,Shohei Ohtani,SP
2020,10,11,2020-04-05,Shohei Ohtani,SP
2020,10,11,2020-04-05,James Paxton,SP
2020,10,11,2020-04-05,Brandon Woodruff,SP
2020,10,11,2020-04-05,Dallas Keuchel,SP
2020,10,11,2020-04-05,Kenta Maeda,SP
2020,10,11,2020-04-05,Jesus Luzardo,RP
2020,10,11,2020-04-05,Nick Anderson,RP
2020,10,11,2020-04-05,Brandon Workman,RP
2020,10,12,2020-04-06,Gary Sanchez,C
2020,10,12,2020-04-06,Matt Olson,1B
2020,10,12,2020-04-06,Whit Merrifield,2B
2020,10,12,2020-04-06,Jose Ramirez,3B
2020,10,12,2020-04-06,Adalberto Mondesi,SS
2020,10,12,2020-04-06,Eloy Jimenez,OF
2020,10,12,2020-04-06,Marcell Ozuna,OF
2020,10,12,2020-04-06,Jorge Soler,OF
2020,10,12,2020-04-06,Vladimir Guerrero Jr.,UTIL
2020,10,12,2020-04-06,Yuli Gurriel,UTIL
2020,10,12,2020-04-06,Lorenzo Cain,Bench
2020,10,12,2020-04-06,Kevin Newman,Bench
2020,10,12,2020-04-06,Daniel Murphy,Bench
2020,10,12,2020-04-06,Carlos Martinez,Bench
2020,10,12,2020-04-06,Sandy Alcantara,Bench
2020,10,12,2020-04-06,Shohei Ohtani,SP
2020,10,12,2020-04-06,Shohei Ohtani,SP
2020,10,12,2020-04-06,James Paxton,SP
2020,10,12,2020-04-06,Brandon Woodruff,SP
2020,10,12,2020-04-06,Dallas Keuchel,SP
2020,10,12,2020-04-06,Kenta Maeda,SP
2020,10,12,2020-04-06,Jesus Luzardo,RP
2020,10,12,2020-04-06,Nick Anderson,RP
2020,10,12,2020-04-06,Brandon Workman,RP
2020,10,13,2020-04-07,Gary Sanchez,C
2020,10,13,2020-04-07,Matt Olson,1B
2020,10,13,2020-04-07,Whit Merrifield,2B
2020,10,13,2020-04-07,Jose Ramirez,3B
2020,10,13,2020-04-07,Adalberto Mondesi,SS
2020,10,13,2020-04-07,Eloy Jimenez,OF
2020,10,13,2020-04-07,Marcell Ozuna,OF
2020,10,13,2020-04-07,Jorge Soler,OF
