year,team_id,scoring_period_id,date,player_name,player_pos
2022,10,1,2022-04-07,Salvador Perez,C
2022,10,1,2022-04-07,Frank Schwindel,1B
2022,10,1,2022-04-07,Postponed,1B
2022,10,1,2022-04-07,Ty France,2B
2022,10,1,2022-04-07,Alex Bregman,3B
2022,10,1,2022-04-07,Bobby Witt Jr.,SS
2022,10,1,2022-04-07,Eloy Jimenez,OF
2022,10,1,2022-04-07,Randy Arozarena,OF
2022,10,1,2022-04-07,Tommy Pham,OF
2022,10,1,2022-04-07,Nolan Arenado,UTIL
2022,10,1,2022-04-07,Joey Votto,UTIL
2022,10,1,2022-04-07,Vladimir Guerrero Jr.,Bench
2022,10,1,2022-04-07,Anthony Rizzo,Bench
2022,10,1,2022-04-07,Randal Grichuk,Bench
2022,10,1,2022-04-07,Alex Colome,Bench
2022,10,1,2022-04-07,Dylan Bundy,Bench
2022,10,1,2022-04-07,Frankie Montas,SP
2022,10,1,2022-04-07,Postponed,SP
2022,10,1,2022-04-07,Alek Manoah,SP
2022,10,1,2022-04-07,German Marquez,SP
2022,10,1,2022-04-07,Blake Snell,SP
2022,10,1,2022-04-07,Marco Gonzales,SP
2022,10,1,2022-04-07,Postponed,SP
2022,10,1,2022-04-07,Michael Kopech,RP
2022,10,1,2022-04-07,Cal Quantrill,RP
2022,10,1,2022-04-07,Chad Green,RP
2022,10,2,2022-04-08,Salvador Perez,C
2022,10,2,2022-04-08,Anthony Rizzo,1B
2022,10,2,2022-04-08,Ty France,2B
2022,10,2,2022-04-08,Alex Bregman,3B
2022,10,2,2022-04-08,Bobby Witt Jr.,SS
2022,10,2,2022-04-08,Eloy Jimenez,OF
2022,10,2,2022-04-08,Randy Arozarena,OF
2022,10,2,2022-04-08,Tommy Pham,OF
2022,10,2,2022-04-08,Vladimir Guerrero Jr.,UTIL
2022,10,2,2022-04-08,Joey Votto,UTIL
2022,10,2,2022-04-08,Nolan Arenado,Bench
2022,10,2,2022-04-08,Randal Grichuk,Bench
2022,10,2,2022-04-08,Frank Schwindel,Bench
