year,team_id,scoring_period_id,date,player_name,player_pos
2020,11,1,2020-03-26,Roberto Perez,C
2020,11,1,2020-03-26,Pete Alonso,1B
2020,11,1,2020-03-26,Cesar Hernandez,2B
2020,11,1,2020-03-26,Matt Chapman,3B
2020,11,1,2020-03-26,Jorge Polanco,SS
2020,11,1,2020-03-26,J.D. Martinez,OF
2020,11,1,2020-03-26,Nick Castellanos,OF
2020,11,1,2020-03-26,Max Kepler,OF
2020,11,1,2020-03-26,Josh Bell,UTIL
2020,11,1,2020-03-26,Aaron Hicks,UTIL
2020,11,1,2020-03-26,Didi Gregorius,Bench
2020,11,1,2020-03-26,Gio Urshela,Bench
2020,11,1,2020-03-26,Brandon Nimmo,Bench
2020,11,1,2020-03-26,Dylan Bundy,Bench
2020,11,1,2020-03-26,Zach Plesac,Bench
2020,11,1,2020-03-26,Gerrit Cole,SP
2020,11,1,2020-03-26,Luis Castillo,SP
2020,11,1,2020-03-26,Lance Lynn,SP
2020,11,1,2020-03-26,Hyun-Jin Ryu,SP
2020,11,1,2020-03-26,Aaron Civale,SP
2020,11,1,2020-03-26,Ken Giles,RP
2020,11,1,2020-03-26,Craig Kimbrel,RP
2020,11,1,2020-03-26,Tyler Rogers,RP
2020,11,2,2020-03-27,Roberto Perez,C
2020,11,2,2020-03-27,Pete Alonso,1B
2020,11,2,2020-03-27,Cesar Hernandez,2B
2020,11,2,2020-03-27,Matt Chapman,3B
2020,11,2,2020-03-27,Jorge Polanco,SS
2020,11,2,2020-03-27,J.D. Martinez,OF
2020,11,2,2020-03-27,Nick Castellanos,OF
2020,11,2,2020-03-27,Max Kepler,OF
2020,11,2,2020-03-27,Josh Bell,UTIL
2020,11,2,2020-03-27,Aaron Hicks,UTIL
2020,11,2,2020-03-27,Didi Gregorius,Bench
2020,11,2,2020-03-27,Gio Urshela,Bench
2020,11,2,2020-03-27,Brandon Nimmo,Bench
2020,11,2,2020-03-27,Dylan Bundy,Bench
2020,11,2,2020-03-27,Zach Plesac,Bench
2020,11,2,2020-03-27,Gerrit Cole,SP
2020,11,2,2020-03-27,Luis Castillo,SP
2020,11,2,2020-03-27,Lance Lynn,SP
2020,11,2,2020-03-27,Hyun-Jin Ryu,SP
2020,11,2,2020-03-27,Aaron Civale,SP
2020,11,2,2020-03-27,Ken Giles,RP
2020,11,2,2020-03-27,Craig Kimbrel,RP
2020,11,2,2020-03-27,Tyler Rogers,RP
2020,11,3,2020-03-28,Roberto Perez,C
2020,11,3,2020-03-28,Pete Alonso,1B
2020,11,3,2020-03-28,Cesar Hernandez,2B
2020,11,3,2020-03-28,Matt Chapman,3B
2020,11,3,2020-03-28,Jorge Polanco,SS
2020,11,3,2020-03-28,J.D. Martinez,OF
2020,11,3,2020-03-28,Nick Castellanos,OF
2020,11,3,2020-03-28,Max Kepler,OF
2020,11,3,2020-03-28,Josh Bell,UTIL
2020,11,3,2020-03-28,Aaron Hicks,UTIL
2020,11,3,2020-03-28,Didi Gregorius,Bench
2020,11,3,2020-03-28,Gio Urshela,Bench
2020,11,3,2020-03-28,Brandon Nimmo,Bench
2020,11,3,2020-03-28,Dylan Bundy,Bench
2020,11,3,2020-03-28,Zach Plesac,Bench
2020,11,3,2020-03-28,Gerrit Cole,SP
2020,11,3,2020-03-28,Luis Castillo,SP
2020,11,3,2020-03-28,Lance Lynn,SP
2020,11,3,2020-03-28,Hyun-Jin Ryu,SP
2020,11,3,2020-03-28,Aaron Civale,SP
2020,11,3,2020-03-28,Ken Giles,RP
2020,11,3,2020-03-28,Craig Kimbrel,RP
2020,11,3,2020-03-28,Tyler Rogers,RP
2020,11,4,2020-03-29,Roberto Perez,C
2020,11,4,2020-03-29,Pete Alonso,1B
2020,11,4,2020-03-29,Cesar Hernandez,2B
2020,11,4,2020-03-29,Matt Chapman,3B
2020,11,4,2020-03-29,Jorge Polanco,SS
2020,11,4,2020-03-29,J.D. Martinez,OF
2020,11,4,2020-03-29,Nick Castellanos,OF
2020,11,4,2020-03-29,Max Kepler,OF
2020,11,4,2020-03-29,Josh Bell,UTIL
2020,11,4,2020-03-29,Aaron Hicks,UTIL
2020,11,4,2020-03-29,Didi Gregorius,Bench
2020,11,4,2020-03-29,Gio Urshela,Bench
2020,11,4,2020-03-29,Brandon Nimmo,Bench
2020,11,4,2020-03-29,Dylan Bundy,Bench
2020,11,4,2020-03-29,Zach Plesac,Bench
2020,11,4,2020-03-29,Gerrit Cole,SP
2020,11,4,2020-03-29,Luis Castillo,SP
2020,11,4,2020-03-29,Lance Lynn,SP
2020,11,4,2020-03-29,Hyun-Jin Ryu,SP
2020,11,4,2020-03-29,Aaron Civale,SP
2020,11,4,2020-03-29,Ken Giles,RP
2020,11,4,2020-03-29,Craig Kimbrel,RP
2020,11,4,2020-03-29,Tyler Rogers,RP
2020,11,5,2020-03-30,Roberto Perez,C
