year,team_id,scoring_period_id,date,player_name,player_pos
2019,1,1,2019-03-20,Tucker Barnhart,C
2019,1,1,2019-03-20,Joey Votto,1B
2019,1,1,2019-03-20,Brian Dozier,2B
2019,1,1,2019-03-20,Brian Anderson,3B
2019,1,1,2019-03-20,Carlos Correa,SS
2019,1,1,2019-03-20,Cody Bellinger,OF
2019,1,1,2019-03-20,Andrew McCutchen,OF
2019,1,1,2019-03-20,Shin-Soo Choo,OF
2019,1,1,2019-03-20,Edwin Encarnacion,UTIL
2019,1,1,2019-03-20,Tommy Pham,UTIL
2019,1,1,2019-03-20,Max Kepler,Bench
2019,1,1,2019-03-20,Lourdes Gurriel Jr.,Bench
2019,1,1,2019-03-20,Jeimer Candelario,Bench
2019,1,1,2019-03-20,Jakob Junis,Bench
2019,1,1,2019-03-20,Craig Stammen,Bench
2019,1,1,2019-03-20,Clayton Kershaw,SP
2019,1,1,2019-03-20,James Paxton,SP
2019,1,1,2019-03-20,Luis Severino,SP
2019,1,1,2019-03-20,Dallas Keuchel,SP
2019,1,1,2019-03-20,Kyle Gibson,SP
2019,1,1,2019-03-20,Wade Davis,RP
2019,1,1,2019-03-20,Jeremy Jeffress,RP
2019,1,1,2019-03-20,Adam Ottavino,RP
2019,1,2,2019-03-21,Tucker Barnhart,C
2019,1,2,2019-03-21,Joey Votto,1B
2019,1,2,2019-03-21,Brian Dozier,2B
2019,1,2,2019-03-21,Brian Anderson,3B
2019,1,2,2019-03-21,Carlos Correa,SS
2019,1,2,2019-03-21,Cody Bellinger,OF
2019,1,2,2019-03-21,Andrew McCutchen,OF
2019,1,2,2019-03-21,Shin-Soo Choo,OF
2019,1,2,2019-03-21,Edwin Encarnacion,UTIL
2019,1,2,2019-03-21,Tommy Pham,UTIL
2019,1,2,2019-03-21,Max Kepler,Bench
2019,1,2,2019-03-21,Lourdes Gurriel Jr.,Bench
2019,1,2,2019-03-21,Jeimer Candelario,Bench
2019,1,2,2019-03-21,Jakob Junis,Bench
2019,1,2,2019-03-21,Craig Stammen,Bench
2019,1,2,2019-03-21,Clayton Kershaw,SP
2019,1,2,2019-03-21,James Paxton,SP
2019,1,2,2019-03-21,Luis Severino,SP
2019,1,2,2019-03-21,Dallas Keuchel,SP
2019,1,2,2019-03-21,Kyle Gibson,SP
2019,1,2,2019-03-21,Wade Davis,RP
2019,1,2,2019-03-21,Jeremy Jeffress,RP
2019,1,2,2019-03-21,Adam Ottavino,RP
2019,1,3,2019-03-22,Tucker Barnhart,C
2019,1,3,2019-03-22,Joey Votto,1B
2019,1,3,2019-03-22,Brian Dozier,2B
2019,1,3,2019-03-22,Brian Anderson,3B
2019,1,3,2019-03-22,Carlos Correa,SS
2019,1,3,2019-03-22,Cody Bellinger,OF
2019,1,3,2019-03-22,Andrew McCutchen,OF
2019,1,3,2019-03-22,Shin-Soo Choo,OF
2019,1,3,2019-03-22,Edwin Encarnacion,UTIL
2019,1,3,2019-03-22,Tommy Pham,UTIL
2019,1,3,2019-03-22,Max Kepler,Bench
2019,1,3,2019-03-22,Lourdes Gurriel Jr.,Bench
2019,1,3,2019-03-22,Jeimer Candelario,Bench
2019,1,3,2019-03-22,Jakob Junis,Bench
2019,1,3,2019-03-22,Craig Stammen,Bench
2019,1,3,2019-03-22,Clayton Kershaw,SP
2019,1,3,2019-03-22,James Paxton,SP
2019,1,3,2019-03-22,Luis Severino,SP
2019,1,3,2019-03-22,Dallas Keuchel,SP
2019,1,3,2019-03-22,Kyle Gibson,SP
2019,1,3,2019-03-22,Wade Davis,RP
2019,1,3,2019-03-22,Jeremy Jeffress,RP
2019,1,3,2019-03-22,Adam Ottavino,RP
2019,1,4,2019-03-23,Tucker Barnhart,C
2019,1,4,2019-03-23,Joey Votto,1B
2019,1,4,2019-03-23,Brian Dozier,2B
2019,1,4,2019-03-23,Brian Anderson,3B
2019,1,4,2019-03-23,Carlos Correa,SS
2019,1,4,2019-03-23,Cody Bellinger,OF
2019,1,4,2019-03-23,Andrew McCutchen,OF
2019,1,4,2019-03-23,Shin-Soo Choo,OF
2019,1,4,2019-03-23,Edwin Encarnacion,UTIL
2019,1,4,2019-03-23,Tommy Pham,UTIL
2019,1,4,2019-03-23,Max Kepler,Bench
2019,1,4,2019-03-23,Lourdes Gurriel Jr.,Bench
2019,1,4,2019-03-23,Jeimer Candelario,Bench
2019,1,4,2019-03-23,Jakob Junis,Bench
2019,1,4,2019-03-23,Craig Stammen,Bench
2019,1,4,2019-03-23,Clayton Kershaw,SP
2019,1,4,2019-03-23,James Paxton,SP
2019,1,4,2019-03-23,Luis Severino,SP
2019,1,4,2019-03-23,Dallas Keuchel,SP
