year,team_id,scoring_period_id,date,player_name,player_pos
2022,9,1,2022-04-07,Gary Sanchez,C
2022,9,1,2022-04-07,Freddie Freeman,1B
2022,9,1,2022-04-07,Eduardo Escobar,2B
2022,9,1,2022-04-07,Anthony Rendon,3B
2022,9,1,2022-04-07,Amed Rosario,SS
2022,9,1,2022-04-07,Postponed,SS
2022,9,1,2022-04-07,Mike Trout,OF
2022,9,1,2022-04-07,Eddie Rosario,OF
2022,9,1,2022-04-07,Marcell Ozuna,OF
2022,9,1,2022-04-07,Jose Abreu,UTIL
2022,9,1,2022-04-07,Yuli Gurriel,UTIL
2022,9,1,2022-04-07,J.P. Crawford,Bench
2022,9,1,2022-04-07,Michael Conforto,Bench
2022,9,1,2022-04-07,Robbie Grossman,Bench
2022,9,1,2022-04-07,Anthony DeSclafani,Bench
2022,9,1,2022-04-07,Zach Plesac,Bench
2022,9,1,2022-04-07,Walker Buehler,SP
2022,9,1,2022-04-07,Lance Lynn,SP
2022,9,1,2022-04-07,Jose Berrios,SP
2022,9,1,2022-04-07,Luis Garcia,SP
2022,9,1,2022-04-07,Pablo Lopez,SP
2022,9,1,2022-04-07,Cristian Javier,RP
2022,9,1,2022-04-07,Tyler Wells,RP
2022,9,1,2022-04-07,Michael Lorenzen,RP
2022,9,2,2022-04-08,Gary Sanchez,C
2022,9,2,2022-04-08,Freddie Freeman,1B
2022,9,2,2022-04-08,Eduardo Escobar,2B
2022,9,2,2022-04-08,Anthony Rendon,3B
2022,9,2,2022-04-08,J.P. Crawford,SS
2022,9,2,2022-04-08,Mike Trout,OF
2022,9,2,2022-04-08,Eddie Rosario,OF
2022,9,2,2022-04-08,Marcell Ozuna,OF
2022,9,2,2022-04-08,Jose Abreu,UTIL
2022,9,2,2022-04-08,Yuli Gurriel,UTIL
2022,9,2,2022-04-08,Michael Conforto,Bench
2022,9,2,2022-04-08,Amed Rosario,Bench
2022,9,2,2022-04-08,Robbie Grossman,Bench
2022,9,2,2022-04-08,Andrew Vaughn,Bench
2022,9,2,2022-04-08,Zach Plesac,Bench
2022,9,2,2022-04-08,Lance Lynn,IL
2022,9,2,2022-04-08,Walker Buehler,SP
2022,9,2,2022-04-08,Jose Berrios,SP
2022,9,2,2022-04-08,Luis Garcia,SP
2022,9,2,2022-04-08,Pablo Lopez,SP
2022,9,2,2022-04-08,Anthony DeSclafani,SP
2022,9,2,2022-04-08,Cristian Javier,RP
2022,9,2,2022-04-08,Tyler Wells,RP
2022,9,2,2022-04-08,Michael Lorenzen,RP
2022,9,3,2022-04-09,Gary Sanchez,C
2022,9,3,2022-04-09,Freddie Freeman,1B
2022,9,3,2022-04-09,Eduardo Escobar,2B
2022,9,3,2022-04-09,Anthony Rendon,3B
2022,9,3,2022-04-09,J.P. Crawford,SS
2022,9,3,2022-04-09,Mike Trout,OF
2022,9,3,2022-04-09,Eddie Rosario,OF
2022,9,3,2022-04-09,Marcell Ozuna,OF
2022,9,3,2022-04-09,Jose Abreu,UTIL
2022,9,3,2022-04-09,Robbie Grossman,UTIL
2022,9,3,2022-04-09,Yuli Gurriel,Bench
2022,9,3,2022-04-09,Michael Conforto,Bench
2022,9,3,2022-04-09,Amed Rosario,Bench
2022,9,3,2022-04-09,Andrew Vaughn,Bench
2022,9,3,2022-04-09,Jose Berrios,Bench
2022,9,3,2022-04-09,Lance Lynn,IL
2022,9,3,2022-04-09,Walker Buehler,SP
