year,team_id,scoring_period_id,date,player_name,player_pos
2021,11,1,2021-04-01,Christian Vazquez,C
2021,11,1,2021-04-01,Postponed,C
2021,11,1,2021-04-01,Jared Walsh,1B
2021,11,1,2021-04-01,Ty France,2B
2021,11,1,2021-04-01,Ke'Bryan Hayes,3B
2021,11,1,2021-04-01,Carlos Correa,SS
2021,11,1,2021-04-01,Kyle Tucker,OF
2021,11,1,2021-04-01,Randy Arozarena,OF
2021,11,1,2021-04-01,Clint Frazier,OF
2021,11,1,2021-04-01,Eugenio Suarez,UTIL
2021,11,1,2021-04-01,Wil Myers,UTIL
2021,11,1,2021-04-01,Pete Alonso,Bench
2021,11,1,2021-04-01,Dylan Moore,Bench
2021,11,1,2021-04-01,Ha-Seong Kim,Bench
2021,11,1,2021-04-01,Triston McKenzie,Bench
2021,11,1,2021-04-01,Freddy Peralta,Bench
2021,11,1,2021-04-01,Sonny Gray,IL
2021,11,1,2021-04-01,Shane Bieber,SP
2021,11,1,2021-04-01,Luis Castillo,SP
2021,11,1,2021-04-01,Kenta Maeda,SP
2021,11,1,2021-04-01,Jesus Luzardo,SP
2021,11,1,2021-04-01,Jameson Taillon,SP
2021,11,1,2021-04-01,Amir Garrett,RP
2021,11,1,2021-04-01,Nick Wittgren,RP
2021,11,1,2021-04-01,Hector Neris,RP
2021,11,2,2021-04-02,Christian Vazquez,C
2021,11,2,2021-04-02,Jared Walsh,1B
2021,11,2,2021-04-02,Dylan Moore,2B
2021,11,2,2021-04-02,Eugenio Suarez,3B
2021,11,2,2021-04-02,Carlos Correa,SS
2021,11,2,2021-04-02,Kyle Tucker,OF
2021,11,2,2021-04-02,Randy Arozarena,OF
2021,11,2,2021-04-02,Wil Myers,OF
2021,11,2,2021-04-02,Ty France,UTIL
2021,11,2,2021-04-02,Adam Eaton,UTIL
2021,11,2,2021-04-02,Pete Alonso,Bench
2021,11,2,2021-04-02,Ke'Bryan Hayes,Bench
2021,11,2,2021-04-02,Clint Frazier,Bench
2021,11,2,2021-04-02,Triston McKenzie,Bench
2021,11,2,2021-04-02,Jameson Taillon,Bench
2021,11,2,2021-04-02,Freddy Peralta,Bench
2021,11,2,2021-04-02,Sonny Gray,IL
2021,11,2,2021-04-02,Shane Bieber,SP
2021,11,2,2021-04-02,Luis Castillo,SP
