year,team_id,scoring_period_id,date,player_name,player_pos
2021,3,1,2021-04-01,Carson Kelly,C
2021,3,1,2021-04-01,Yuli Gurriel,1B
2021,3,1,2021-04-01,Cavan Biggio,2B
2021,3,1,2021-04-01,Kris Bryant,3B
2021,3,1,2021-04-01,Xander Bogaerts,SS
2021,3,1,2021-04-01,Postponed,SS
2021,3,1,2021-04-01,Luis Robert,OF
2021,3,1,2021-04-01,Austin Meadows,OF
2021,3,1,2021-04-01,Dylan Carlson,OF
2021,3,1,2021-04-01,Josh Donaldson,UTIL
2021,3,1,2021-04-01,Jonathan India,UTIL
2021,3,1,2021-04-01,Julio Rodriguez,Bench
2021,3,1,2021-04-01,Bobby Dalbec,Bench
2021,3,1,2021-04-01,Tyler Mahle,Bench
2021,3,1,2021-04-01,Brady Singer,Bench
2021,3,1,2021-04-01,Jordan Romano,Bench
2021,3,1,2021-04-01,Kyle Lewis,IL
2021,3,1,2021-04-01,Austin Nola,IL
2021,3,1,2021-04-01,Noah Syndergaard,IL
2021,3,1,2021-04-01,Zac Gallen,SP
2021,3,1,2021-04-01,Tyler Glasnow,SP
2021,3,1,2021-04-01,Aaron Nola,SP
2021,3,1,2021-04-01,Sandy Alcantara,SP
2021,3,1,2021-04-01,Jose Urquidy,SP
2021,3,1,2021-04-01,Devin Williams,RP
2021,3,1,2021-04-01,Archie Bradley,RP
2021,3,1,2021-04-01,Emilio Pagan,RP
2021,3,2,2021-04-02,Carson Kelly,C
2021,3,2,2021-04-02,Yuli Gurriel,1B
2021,3,2,2021-04-02,Cavan Biggio,2B
2021,3,2,2021-04-02,Kris Bryant,3B
2021,3,2,2021-04-02,Xander Bogaerts,SS
2021,3,2,2021-04-02,Luis Robert,OF
2021,3,2,2021-04-02,Austin Meadows,OF
2021,3,2,2021-04-02,Dylan Carlson,OF
2021,3,2,2021-04-02,Bobby Dalbec,UTIL
2021,3,2,2021-04-02,Jonathan India,UTIL
2021,3,2,2021-04-02,Josh Donaldson,Bench
2021,3,2,2021-04-02,Julio Rodriguez,Bench
2021,3,2,2021-04-02,Tyler Mahle,Bench
2021,3,2,2021-04-02,Brady Singer,Bench
2021,3,2,2021-04-02,Jordan Romano,Bench
2021,3,2,2021-04-02,Kyle Lewis,IL
2021,3,2,2021-04-02,Austin Nola,IL
2021,3,2,2021-04-02,Noah Syndergaard,IL
2021,3,2,2021-04-02,Zac Gallen,SP
2021,3,2,2021-04-02,Tyler Glasnow,SP
2021,3,2,2021-04-02,Aaron Nola,SP
2021,3,2,2021-04-02,Sandy Alcantara,SP
2021,3,2,2021-04-02,Jose Urquidy,SP
2021,3,2,2021-04-02,Devin Williams,RP
2021,3,2,2021-04-02,Archie Bradley,RP
2021,3,2,2021-04-02,Emilio Pagan,RP
2021,3,3,2021-04-03,Carson Kelly,C
2021,3,3,2021-04-03,Yuli Gurriel,1B
2021,3,3,2021-04-03,Cavan Biggio,2B
2021,3,3,2021-04-03,Kris Bryant,3B
2021,3,3,2021-04-03,Xander Bogaerts,SS
2021,3,3,2021-04-03,Luis Robert,OF
2021,3,3,2021-04-03,Austin Meadows,OF
2021,3,3,2021-04-03,Dylan Carlson,OF
2021,3,3,2021-04-03,Bobby Dalbec,UTIL
2021,3,3,2021-04-03,Jonathan India,UTIL
2021,3,3,2021-04-03,Josh Donaldson,Bench
2021,3,3,2021-04-03,Julio Rodriguez,Bench
2021,3,3,2021-04-03,Tyler Glasnow,Bench
2021,3,3,2021-04-03,Brady Singer,Bench
2021,3,3,2021-04-03,Emilio Pagan,Bench
2021,3,3,2021-04-03,Kyle Lewis,IL
2021,3,3,2021-04-03,Austin Nola,IL
2021,3,3,2021-04-03,Noah Syndergaard,IL
2021,3,3,2021-04-03,Zac Gallen,SP
2021,3,3,2021-04-03,Aaron Nola,SP
2021,3,3,2021-04-03,Sandy Alcantara,SP
2021,3,3,2021-04-03,Jose Urquidy,SP
2021,3,3,2021-04-03,Tyler Mahle,SP
2021,3,3,2021-04-03,Devin Williams,RP
2021,3,3,2021-04-03,Archie Bradley,RP
2021,3,3,2021-04-03,Jordan Romano,RP
2021,3,4,2021-04-04,Carson Kelly,C
2021,3,4,2021-04-04,Yuli Gurriel,1B
2021,3,4,2021-04-04,Jazz Chisholm Jr.,2B
2021,3,4,2021-04-04,Kris Bryant,3B
2021,3,4,2021-04-04,Xander Bogaerts,SS
2021,3,4,2021-04-04,Luis Robert,OF
2021,3,4,2021-04-04,Cavan Biggio,OF
2021,3,4,2021-04-04,Dylan Carlson,OF
2021,3,4,2021-04-04,Bobby Dalbec,UTIL
2021,3,4,2021-04-04,Jonathan India,UTIL
2021,3,4,2021-04-04,Austin Meadows,Bench
2021,3,4,2021-04-04,Julio Rodriguez,Bench
2021,3,4,2021-04-04,Tyler Glasnow,Bench
2021,3,4,2021-04-04,Sandy Alcantara,Bench
2021,3,4,2021-04-04,Jordan Romano,Bench
2021,3,4,2021-04-04,Kyle Lewis,IL
2021,3,4,2021-04-04,Austin Nola,IL
2021,3,4,2021-04-04,Noah Syndergaard,IL
2021,3,4,2021-04-04,Zac Gallen,SP
2021,3,4,2021-04-04,Aaron Nola,SP
2021,3,4,2021-04-04,Jose Urquidy,SP
2021,3,4,2021-04-04,Tyler Mahle,SP
2021,3,4,2021-04-04,Brady Singer,SP
2021,3,4,2021-04-04,Devin Williams,RP
2021,3,4,2021-04-04,Archie Bradley,RP
2021,3,4,2021-04-04,Emilio Pagan,RP
