year,team_id,scoring_period_id,date,player_name,player_pos
2020,12,1,2020-03-26,Yadier Molina,C
2020,12,1,2020-03-26,DJ LeMahieu,1B
2020,12,1,2020-03-26,Ozzie Albies,2B
2020,12,1,2020-03-26,Manny Machado,3B
2020,12,1,2020-03-26,Fernando Tatis Jr.,SS
2020,12,1,2020-03-26,Bryce Harper,OF
2020,12,1,2020-03-26,George Springer,OF
2020,12,1,2020-03-26,Starling Marte,OF
2020,12,1,2020-03-26,Nelson Cruz,UTIL
2020,12,1,2020-03-26,Oscar Mercado,UTIL
2020,12,1,2020-03-26,Kyle Tucker,Bench
2020,12,1,2020-03-26,Miguel Cabrera,Bench
2020,12,1,2020-03-26,Garrett Richards,Bench
2020,12,1,2020-03-26,Zack Britton,Bench
2020,12,1,2020-03-26,Yonny Chirinos,Bench
2020,12,1,2020-03-26,Charlie Morton,SP
2020,12,1,2020-03-26,Madison Bumgarner,SP
2020,12,1,2020-03-26,Luke Weaver,SP
2020,12,1,2020-03-26,Andrew Heaney,SP
2020,12,1,2020-03-26,Rich Hill,SP
2020,12,1,2020-03-26,Kirby Yates,RP
2020,12,1,2020-03-26,Kenley Jansen,RP
2020,12,1,2020-03-26,Julio Urias,RP
2020,12,2,2020-03-27,Yadier Molina,C
2020,12,2,2020-03-27,DJ LeMahieu,1B
2020,12,2,2020-03-27,Ozzie Albies,2B
2020,12,2,2020-03-27,Manny Machado,3B
2020,12,2,2020-03-27,Fernando Tatis Jr.,SS
2020,12,2,2020-03-27,Bryce Harper,OF
2020,12,2,2020-03-27,George Springer,OF
2020,12,2,2020-03-27,Starling Marte,OF
2020,12,2,2020-03-27,Nelson Cruz,UTIL
2020,12,2,2020-03-27,Oscar Mercado,UTIL
2020,12,2,2020-03-27,Kyle Tucker,Bench
2020,12,2,2020-03-27,Miguel Cabrera,Bench
2020,12,2,2020-03-27,Garrett Richards,Bench
2020,12,2,2020-03-27,Zack Britton,Bench
2020,12,2,2020-03-27,Yonny Chirinos,Bench
